"filename", "language", "JSON", "Shell Script", "Ignore", "Docker", "toml", "Python", "HTML", "pip requirements", "YAML", "CSV", "SQLite", "Markdown", "comment", "blank", "total"
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/routers/rt_provider.py", "Python", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 15, 60
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/routers/rt_redirect.py", "Python", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/routers/rt_task.py", "Python", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 1, 30, 121
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/call_queue_processor.py", "Python", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/email_queue_processor.py", "Python", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 22, 25, 136
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/inbound_lab_reports.py", "Python", 0, 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 44, 122, 635
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/locations_processor.py", "Python", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 15, 12, 76
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/outbound_lab_orders.py", "Python", 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 94, 53, 374
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/report_notifications.py", "Python", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 111, 62, 344
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/tasks/sms_queue_processor.py", "Python", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 21, 15, 93
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/templates/email/GGT-1-APPOINTMENT-CONFIRMATION-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 5, 6, 175
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/templates/email/GGT-2-APPOINTMENT-REMINDER.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/templates/email/GGT-3-POST-TEST-NEXTSTEPS-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 370, 0, 0, 0, 0, 0, 27, 14, 411
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/templates/email/GGT-4-APPOINTMENT-RESCHEDULE-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/templates/email/GGT-5-RESULT-AVAILABLE-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 2, 7, 94
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/templates/email/GGT-6-PHONE-UNREACHABLE-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/ggt/templates/email/email-layout-1.html", "HTML", 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 27, 32, 437
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/main.py", "Python", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 9, 24, 121
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 68
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/app/run.sh", "Shell Script", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/docs/db_init.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 485, 0, 244, 143, 872
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/docs/move_files.py", "Python", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/docs/notes.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 19, 47
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/docs/sample-data-4.json", "JSON", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/gcp_deploy.sh", "Shell Script", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 29
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/inbound-resulting.sh", "Shell Script", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/sftp_download.sh", "Shell Script", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/email/GGT-1-APPOINTMENT-CONFIRMATION-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 5, 7, 154
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/email/GGT-2-APPOINTMENT-REMINDER.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/email/GGT-3-POST-TEST-NEXTSTEPS-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 370, 0, 0, 0, 0, 0, 27, 14, 411
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/email/GGT-4-APPOINTMENT-RESCHEDULE-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/email/GGT-5-RESULT-AVAILABLE-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/email/GGT-6-PHONE-UNREACHABLE-EMAIL.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/email/email-layout-1.html", "HTML", 0, 0, 0, 0, 0, 0, 321, 0, 0, 0, 0, 0, 27, 17, 365
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/main.py", "Python", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 22, 77
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-email/postcards_GGT-POST-TEST-RESULT_373172/index.html", "HTML", 0, 0, 0, 0, 0, 0, 359, 0, 0, 0, 0, 0, 27, 14, 400
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-sms/main.py", "Python", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 37, 115
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-sms/processed/07.10.2020.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 1, 246
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-sms/processed/result-lowes.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 55
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-sms/processed/result.07.10.2020.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 208
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-sms/processed/result.07.11.2020.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-sms/processed/result.07.15.2020.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 101
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/tasks/test-result-sms/result-test.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/suresh/Library/Mobile Documents/com~apple~CloudDocs/IO Technology/wellhealth/ggt-pfe-api/test1.py", "Python", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 27, 78
"Total", "-", 1076, 36, 11, 3, 36, 7034, 2189, 67, 550, 672, 485, 28, 1956, 2212, 16355
